,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2,3,2,1,4,3,3,0,0,1,3,1,3,1,1,2,4,2,4,3,3,2,2,3,2,3,0,0,1,0
1,3,1,3,1,4,4,2,0,1,2,4,0,2,2,2,2,4,2,3,4,3,2,2,1,2,3,1,2,2,1
2,3,0,2,3,1,4,3,2,3,2,3,1,3,2,2,0,2,2,3,4,3,2,2,2,2,3,1,3,1,1
3,1,0,2,1,0,0,2,2,4,1,4,0,2,2,2,0,0,2,3,0,4,1,2,3,2,4,2,4,1,2
4,1,2,3,1,4,0,2,0,0,0,4,1,3,1,2,2,4,2,3,0,3,1,2,2,2,3,0,0,0,0
5,1,2,2,2,1,0,2,0,1,4,4,2,3,0,2,1,3,2,3,0,3,2,3,2,2,3,2,0,0,2
6,2,2,1,0,2,4,1,0,2,3,0,2,1,0,2,4,3,3,1,4,2,2,2,2,3,2,3,2,0,3
7,4,2,3,0,2,2,1,0,2,2,1,1,1,1,2,4,3,3,2,2,2,2,3,0,3,2,1,0,0,1
8,3,3,2,0,2,2,1,0,1,2,1,3,0,1,3,4,3,3,2,2,2,2,2,0,3,2,3,3,0,3
9,4,4,4,0,3,3,1,0,2,4,1,0,0,1,3,4,3,3,2,3,2,2,3,1,3,2,2,1,1,2
10,4,0,4,2,4,2,1,1,4,3,2,0,0,2,3,0,2,3,2,3,2,2,3,0,3,2,2,0,3,2
11,2,3,4,0,2,2,1,0,1,1,1,3,1,2,1,4,4,3,1,2,1,3,2,1,3,3,0,0,4,0
12,3,4,2,0,3,3,1,0,2,3,1,0,0,2,2,4,4,3,2,3,2,2,3,0,3,3,1,2,3,1
13,0,3,4,0,4,4,0,1,2,2,1,3,0,1,2,4,3,3,2,4,2,2,3,1,3,2,0,1,2,0
14,1,2,3,0,1,1,1,0,2,1,1,3,1,2,3,3,4,3,2,1,2,2,4,1,3,1,0,0,0,0
15,0,2,3,0,1,1,1,0,2,0,1,4,1,0,3,4,4,3,3,1,2,2,3,3,3,2,0,4,0,0
16,0,3,2,0,1,1,1,0,2,0,2,3,1,0,3,4,4,3,3,1,2,2,3,1,2,2,1,4,0,1
17,4,3,4,1,2,1,1,0,1,3,2,2,0,0,2,4,4,3,2,1,2,3,3,1,3,3,0,1,4,0
18,4,4,4,3,0,2,0,1,0,3,0,0,0,0,1,3,3,2,1,2,3,2,2,0,2,0,0,0,3,0
19,4,4,4,0,0,0,0,1,1,3,3,0,0,0,1,4,3,2,4,0,3,1,2,0,2,0,0,0,4,0
20,4,3,4,0,2,1,2,0,1,3,2,1,0,0,2,4,4,3,1,1,2,3,3,0,3,3,1,2,4,1
21,2,3,4,0,2,1,1,0,1,2,1,4,2,3,2,4,4,3,2,1,2,2,3,2,4,2,1,0,1,1
22,3,3,4,0,2,2,1,0,1,1,2,1,1,0,2,4,4,3,2,2,2,3,3,0,3,2,0,2,2,0
23,1,1,2,2,2,3,2,1,4,0,4,2,2,1,2,1,1,4,3,3,2,1,3,4,3,3,0,4,1,0
24,1,0,3,3,3,3,2,2,4,1,2,2,0,3,3,0,2,4,4,3,3,1,4,1,4,2,0,4,2,0
25,3,4,4,1,1,1,2,1,1,1,2,4,1,3,2,1,3,1,1,1,1,3,3,1,2,2,0,2,3,0
26,4,4,1,0,1,3,2,4,2,4,1,4,1,4,1,1,0,0,1,3,0,4,2,1,1,1,0,4,1,0
