,0,1,2,3
0,4,0,1,0
1,2,2,2,2
2,4,0,1,1
3,4,0,3,0
4,4,1,2,1
5,3,1,2,1
6,3,0,1,0
7,3,0,1,1
8,4,1,2,2
9,4,0,2,1
10,3,1,1,2
11,4,0,1,1
12,4,0,2,1
13,4,1,3,2
14,3,0,1,1
15,3,1,4,2
16,2,2,3,3
17,2,1,1,1
18,4,0,1,0
19,4,1,2,2
20,4,1,1,2
21,4,1,2,2
22,4,0,2,1
23,4,0,0,0
24,3,0,0,0
25,3,1,0,0
26,3,0,0,0
27,3,0,0,0
28,0,3,4,4
29,1,0,0,0
30,0,4,1,1
31,2,3,2,2
32,4,0,0,0
33,3,0,3,0
34,0,1,1,2
35,2,4,0,1
36,2,4,4,4
37,2,1,0,0
38,4,3,2,1
39,0,3,3,3
40,1,2,0,3
41,1,3,3,3
42,2,3,3,4
43,3,4,4,4
44,2,4,0,2
45,0,2,2,3
46,0,2,3,3
47,1,4,3,3
48,0,2,3,3
49,1,4,4,4
50,1,0,3,3
51,1,2,2,2
52,1,2,2,3
53,3,4,4,4
54,3,4,4,4
55,0,3,4,3
56,3,4,4,4
57,0,2,1,3
58,4,3,2,2
59,1,2,1,2
60,1,2,3,3
61,2,4,0,1
62,2,3,2,2
63,3,4,4,4
64,1,4,4,3
65,0,1,1,0
66,2,4,4,4
67,2,2,0,1
68,2,4,4,4
69,1,1,0,0
70,2,3,3,2
71,0,1,3,3
72,1,4,4,4
73,4,3,2,1
74,0,3,4,3
75,1,3,1,2
76,1,3,4,4
77,0,3,4,4
78,0,3,3,4
79,2,4,4,4
80,2,2,1,1
81,1,4,3,4
82,3,4,4,4
83,0,2,0,1
84,3,2,0,0
85,1,3,3,4
86,0,2,2,3
87,1,1,0,0
88,0,2,3,2
89,0,1,0,0
90,0,2,0,0
91,2,3,1,3
