,S5,S2,LC8.3
0,1,2,1
1,2,1,1
2,2,3,3
3,2,2,3
4,2,2,0
5,4,4,3
6,4,4,3
7,2,2,2
8,3,2,1
9,4,4,4
10,4,4,4
11,4,4,4
12,4,4,4
13,4,4,4
14,4,4,4
15,4,4,4
16,4,4,4
17,4,4,4
18,4,4,4
19,3,3,3
20,3,3,3
21,3,3,3
22,3,3,3
23,3,3,3
24,3,3,3
25,3,4,4
26,3,3,3
27,4,3,4
28,4,3,4
29,3,3,3
30,4,3,4
31,4,3,3
32,4,4,4
33,0,0,0
34,3,3,1
35,0,0,0
36,2,2,2
37,4,4,4
38,3,4,3
39,2,3,0
40,2,1,2
41,0,1,2
42,3,1,2
43,2,4,4
44,1,1,0
45,1,1,1
46,1,1,1
47,1,2,2
48,1,2,3
49,1,0,2
50,1,0,0
51,1,0,0
52,0,0,1
53,1,0,0
54,0,1,1
55,2,2,0
56,1,2,1
57,1,1,1
58,1,2,3
59,0,3,3
60,0,0,0
61,0,1,3
62,2,2,0
63,2,4,4
64,2,1,1
65,1,1,1
66,2,1,2
67,1,2,2
68,0,3,3
69,0,0,1
70,3,0,0
71,0,2,2
72,1,1,2
73,0,1,2
74,3,0,1
75,1,1,2
76,2,2,0
77,0,1,1
78,2,4,4
79,0,0,0
80,0,0,1
81,0,2,2
82,0,0,0
83,0,0,0
84,0,0,2
85,2,1,2
86,0,0,1
87,0,1,3
88,2,2,0
89,3,1,3
90,1,2,1
91,2,0,0
92,3,3,1
93,1,0,0
94,1,0,0
95,2,0,0
96,1,2,2
97,4,4,4
98,4,4,4
99,3,3,2
100,4,3,2
101,3,3,1
102,3,2,2
103,3,1,1
