,0,1,2,3,4,5,6,7,8
0,1,3,2,1,0,2,3,3,3
1,1,3,1,1,1,2,3,2,4
2,1,2,1,0,1,2,3,2,3
3,1,3,1,0,1,2,3,2,3
4,0,2,0,2,1,1,2,2,3
5,3,0,0,0,1,2,0,1,0
6,3,1,0,0,2,1,1,2,1
7,1,2,2,1,0,1,3,2,3
8,0,0,0,4,1,1,3,4,4
9,0,1,4,4,4,0,1,1,2
10,0,1,0,4,4,0,1,1,1
11,0,1,0,4,4,1,0,1,0
12,0,1,3,4,4,1,1,1,1
13,0,1,2,4,4,1,1,1,1
14,0,1,4,4,4,0,1,1,0
15,0,1,4,4,4,0,1,1,1
16,0,1,0,4,4,0,1,1,1
17,0,1,3,4,4,1,1,2,1
18,1,0,0,4,4,0,1,2,2
19,1,2,0,3,1,0,3,0,3
20,1,2,1,3,1,0,3,0,3
21,3,2,0,0,1,1,3,1,4
22,1,2,1,3,1,1,3,0,3
23,1,2,1,3,1,0,3,0,3
24,0,1,0,4,2,1,3,0,3
25,2,2,0,1,2,0,3,0,3
26,3,2,2,0,0,1,3,1,3
27,1,1,4,4,4,1,2,1,1
28,0,1,4,4,3,1,1,2,1
29,0,0,1,4,3,1,2,2,0
30,0,1,3,4,3,1,1,1,0
31,1,1,4,4,3,0,2,1,2
32,1,1,2,3,4,0,1,1,1
33,1,4,0,2,4,3,2,4,3
34,0,3,4,3,0,0,1,0,2
35,4,4,4,0,2,4,4,1,2
36,1,3,3,2,0,3,3,2,3
37,0,0,1,4,0,1,0,1,1
38,3,1,3,2,2,0,1,0,0
39,3,2,2,2,3,0,2,0,0
40,3,0,3,3,1,4,0,4,2
41,2,4,2,3,0,3,4,4,4
42,4,3,3,1,4,2,1,0,1
43,1,2,4,3,0,1,0,3,0
44,2,3,2,2,3,2,3,3,2
45,4,0,2,1,4,4,0,4,1
46,2,3,3,2,2,3,2,3,2
47,1,3,3,2,2,4,4,4,3
48,2,4,2,3,3,2,4,4,4
49,2,0,2,2,3,3,0,3,2
50,3,1,1,2,0,2,4,3,2
51,3,3,1,2,0,4,3,3,2
52,4,2,1,0,1,4,2,4,3
53,3,3,0,2,2,3,3,3,3
54,3,3,2,2,2,2,4,4,4
55,4,3,2,2,0,3,1,0,0
56,4,3,4,0,4,4,2,2,1
57,4,2,1,1,2,3,2,2,2
58,3,4,3,2,0,3,4,4,4
59,2,4,4,3,1,4,4,4,4
60,3,4,0,1,1,3,4,3,4
61,2,4,3,3,3,3,4,4,4
62,2,2,2,3,4,0,1,0,0
63,0,2,2,4,0,2,0,3,0
64,2,1,3,0,3,4,0,2,1
65,2,3,1,1,3,4,2,3,2
66,2,0,3,3,1,4,0,3,2
67,1,3,4,2,0,2,3,3,3
68,2,4,4,3,1,4,4,4,4
69,4,2,4,0,2,3,1,4,1
70,4,3,3,0,4,3,0,0,0
71,3,4,3,1,2,3,4,4,4
72,3,0,0,0,3,4,0,3,0
73,3,4,4,2,3,2,4,4,4
74,4,3,3,1,4,4,0,0,1
75,1,3,0,3,1,4,2,3,3
76,3,3,1,2,0,4,1,0,0
77,2,4,1,3,0,3,4,4,4
78,0,3,1,3,0,2,0,3,1
79,2,4,0,1,0,4,4,3,4
80,4,4,3,0,4,4,4,1,2
81,2,4,1,3,0,2,4,3,4
82,2,4,2,1,3,2,2,4,2
83,3,0,1,0,3,4,0,3,0
84,4,4,1,1,3,3,3,4,4
85,2,2,0,2,2,2,1,2,1
86,4,4,3,0,2,4,4,4,4
87,4,4,2,0,2,3,4,4,4
88,1,0,2,3,0,2,0,1,0
89,2,0,2,1,3,4,0,0,0
90,2,4,4,3,1,3,4,3,4
91,4,1,0,0,3,2,2,3,2
92,1,2,4,2,1,0,2,0,3
93,4,0,3,0,3,3,0,2,0
94,4,4,4,0,4,3,4,0,0
95,4,0,1,1,2,3,0,2,0
96,3,2,3,1,2,2,3,2,4
97,4,0,1,0,3,0,2,2,2
98,0,0,4,4,1,0,2,0,1
99,4,0,3,1,2,1,2,0,2
100,3,1,0,1,2,0,0,1,0
101,4,0,4,1,2,1,2,0,3
102,3,0,2,1,3,0,2,2,1
103,0,0,4,4,0,1,0,1,2
