,0,1,2,3,4,5,6,7,8,9,10,11
0,4,1,0,2,2,2,1,2,2,4,2,3
1,3,1,0,2,3,2,0,2,2,4,2,3
2,2,2,2,2,3,2,1,2,3,3,2,4
3,2,2,2,2,1,2,1,3,3,1,2,3
4,3,2,0,2,1,1,1,2,2,4,2,3
5,3,2,0,2,1,1,2,2,3,3,2,3
6,4,0,0,3,2,3,1,0,1,4,3,1
7,4,1,0,3,4,3,1,0,2,4,3,1
8,4,0,0,3,3,3,0,1,2,4,3,1
9,4,1,0,3,4,3,2,1,1,3,3,0
10,4,2,1,3,4,3,3,1,2,2,3,1
11,3,1,0,3,2,4,0,1,1,4,3,1
12,4,1,0,3,3,3,2,1,1,3,3,0
13,4,1,1,3,0,2,2,1,1,3,3,1
14,4,1,0,3,1,3,2,1,2,3,3,1
15,4,1,0,3,0,3,2,1,2,2,3,1
16,4,1,0,2,0,3,2,0,2,2,3,1
17,4,0,0,3,4,4,1,1,1,3,3,1
18,4,1,1,2,4,0,4,0,0,0,2,0
19,1,4,1,2,4,0,1,0,0,4,2,0
20,4,0,0,3,4,4,1,1,1,3,3,1
21,4,1,0,4,2,3,2,2,2,3,3,1
22,4,0,0,3,3,3,0,1,1,4,3,1
23,3,2,1,3,1,3,2,1,2,1,4,2
24,3,2,2,4,1,4,4,2,2,0,4,2
25,2,0,1,2,3,1,2,2,4,4,1,2
26,2,0,4,1,4,1,3,2,4,2,0,0
27,1,2,2,1,1,2,0,2,4,2,1,3
28,2,0,0,1,1,1,1,1,4,3,1,2
29,0,0,1,1,2,1,1,1,4,3,1,2
30,1,1,1,1,2,1,1,1,4,3,0,1
31,2,0,0,1,2,1,1,1,4,3,0,2
32,3,0,0,2,2,1,0,2,4,4,1,2
33,1,2,1,2,3,2,1,1,4,4,0,2
34,3,0,1,1,2,2,0,1,3,4,1,1
35,2,3,2,1,4,2,3,2,1,0,1,2
36,2,3,3,1,4,3,3,1,1,0,1,2
37,2,3,2,1,3,3,3,2,1,0,1,2
38,2,3,2,1,3,3,3,2,2,0,1,2
39,2,3,3,1,3,3,3,2,1,0,1,2
40,2,3,3,1,3,3,3,1,1,0,1,2
41,2,3,1,1,1,3,2,2,2,0,1,2
42,3,1,4,1,0,3,1,2,2,3,1,3
43,0,4,3,4,1,2,0,4,1,4,4,4
44,4,0,4,0,0,0,0,0,3,4,0,1
45,0,4,1,0,3,2,4,3,4,0,1,4
46,2,2,4,4,0,2,0,3,3,4,2,2
47,3,0,4,0,4,0,0,0,0,2,0,0
48,3,0,2,0,3,1,3,0,0,1,0,0
49,3,0,1,2,0,1,3,3,1,1,0,1
50,1,4,3,0,0,0,3,3,0,1,2,3
51,0,4,3,4,2,4,1,4,4,2,4,4
52,1,3,4,0,0,0,4,0,3,1,0,0
53,0,1,4,3,3,1,0,3,0,2,4,0
54,0,3,4,2,0,2,2,2,3,2,2,3
55,0,4,2,0,4,0,4,4,0,1,0,0
56,1,3,3,1,2,1,2,4,2,2,2,3
57,2,2,1,1,1,4,0,4,4,4,2,4
58,3,1,3,4,2,4,2,4,4,1,4,4
59,1,4,3,0,2,0,2,3,0,1,2,2
60,0,4,1,1,0,1,3,1,2,1,1,0
61,0,4,2,2,4,2,4,2,1,1,2,2
62,1,4,1,4,3,4,4,4,0,1,4,3
63,1,3,4,1,0,2,3,2,3,2,2,3
64,1,3,4,4,2,4,3,4,3,1,4,4
65,1,3,4,2,2,3,4,0,1,0,0,0
66,3,0,0,2,1,1,4,3,2,0,2,2
67,0,4,4,0,4,0,4,3,1,0,1,3
68,3,0,2,4,2,4,3,4,3,1,4,4
69,3,0,2,4,1,4,1,4,3,2,4,4
70,1,4,2,3,3,2,3,3,4,1,3,3
71,4,1,3,4,2,4,1,4,4,1,4,4
72,2,3,2,2,4,1,1,3,1,2,0,1
73,0,1,4,3,2,1,0,3,0,3,3,0
74,4,2,3,0,0,0,2,0,0,4,0,1
75,1,3,3,2,0,1,1,4,2,3,3,3
76,3,3,3,0,1,0,2,3,0,1,2,3
77,3,2,4,4,4,2,0,3,3,4,2,2
78,2,0,2,4,1,4,2,4,3,1,4,4
79,4,2,1,4,0,4,4,4,0,0,4,4
80,3,2,3,0,0,0,4,0,3,0,1,0
81,0,2,2,4,1,4,3,4,4,2,4,4
82,0,4,2,0,4,0,4,3,0,1,0,0
83,0,4,4,4,3,4,3,4,4,2,4,4
84,3,2,3,0,0,0,4,0,3,0,0,1
85,0,4,4,4,4,2,0,3,3,2,2,2
86,0,3,4,2,1,2,3,0,1,0,0,0
87,0,3,3,4,2,4,1,4,4,2,4,4
