,X.G1.1.1.19.,LC1.2,LC1.3,X.G4.2.7.1.,X.G4.3.5.3.,X.G4.3.1.6.,S6,X.G4.1.7.3.,X.G4.1.5.3.,X.G1.1.1.17.
0,2,4,0,0,3,2,1,4,0,4
1,4,4,0,0,3,1,2,4,0,3
2,4,2,2,1,2,1,2,4,0,2
3,4,0,2,0,1,2,2,4,0,4
4,2,4,0,0,3,2,2,4,0,1
5,1,3,0,0,1,1,2,4,0,3
6,2,3,0,0,3,2,0,3,2,4
7,1,3,0,1,3,0,0,3,1,4
8,3,3,0,0,4,0,0,3,0,4
9,2,3,0,1,3,1,0,1,1,3
10,3,2,1,0,0,0,0,1,1,2
11,3,4,0,1,4,0,1,2,1,4
12,3,4,0,1,4,2,0,1,1,3
13,2,3,1,0,4,1,0,3,3,4
14,2,4,0,0,4,1,0,4,0,4
15,3,4,0,0,4,3,0,3,1,4
16,3,4,0,0,4,1,0,2,1,4
17,3,4,0,1,3,1,1,3,0,3
18,4,3,1,1,3,0,2,4,0,4
19,3,3,1,2,1,0,2,4,1,1
20,3,4,0,1,4,0,1,2,0,3
21,3,4,0,1,4,1,0,2,3,4
22,2,4,0,3,4,0,0,2,2,4
23,2,1,1,1,2,3,0,4,0,4
24,3,2,2,1,2,2,0,3,0,4
25,3,3,1,2,4,1,0,3,0,4
26,4,0,4,3,1,1,3,3,2,4
27,4,2,2,1,2,4,0,1,1,0
28,4,4,0,1,3,3,0,2,0,3
29,4,4,1,4,3,1,0,0,3,0
30,4,4,1,2,3,0,0,1,1,1
31,4,4,0,1,4,2,0,1,2,1
32,4,3,0,0,0,0,0,4,1,2
33,4,3,1,0,2,0,2,4,1,2
34,3,3,1,1,4,0,0,4,3,3
35,4,2,2,2,3,0,1,3,2,1
36,4,2,3,1,4,0,1,3,1,2
37,4,2,2,1,4,0,1,3,1,2
38,4,3,2,2,3,0,1,3,2,1
39,4,2,3,2,3,0,1,3,2,3
40,4,3,3,2,3,1,1,3,2,3
41,2,4,1,1,4,0,1,4,2,3
42,2,1,4,0,2,2,2,4,1,2
43,1,0,3,3,0,3,2,0,4,1
44,2,0,4,4,1,1,2,0,4,0
45,0,4,1,0,0,1,0,2,0,0
46,0,1,4,3,2,4,2,0,3,2
47,4,0,4,4,4,4,3,0,4,4
48,0,3,2,4,1,3,2,2,4,0
49,2,4,1,3,2,2,0,0,1,2
50,1,2,3,2,0,3,3,3,2,0
51,1,0,3,3,0,4,2,2,4,3
52,1,0,4,1,1,1,3,4,4,1
53,0,1,4,4,1,2,3,1,4,3
54,0,1,4,0,0,3,2,4,0,1
55,0,3,2,2,3,2,2,4,3,4
56,0,1,3,4,1,2,2,1,2,0
57,1,2,1,2,1,3,2,2,2,1
58,2,0,3,3,0,3,3,2,4,3
59,1,2,3,3,4,3,3,1,1,0
60,3,2,1,0,2,4,0,4,1,1
61,3,3,2,4,0,4,1,0,1,1
62,2,2,1,3,1,2,2,3,2,3
63,4,0,4,2,4,2,2,0,0,2
64,3,0,4,2,1,1,3,2,0,1
65,0,1,4,4,1,1,2,0,3,0
66,2,4,0,2,1,1,0,3,1,0
67,1,0,4,4,2,4,2,1,2,1
68,1,2,2,3,0,4,2,3,4,1
69,1,1,2,4,0,3,2,0,4,2
70,0,3,2,4,1,4,2,1,2,3
71,0,1,3,4,0,3,3,2,3,0
72,2,1,2,1,2,0,0,0,1,0
73,0,0,4,4,2,4,3,2,4,3
74,1,2,3,2,3,4,2,1,3,1
75,0,2,3,4,1,4,2,0,3,0
76,1,1,3,4,4,3,2,1,2,2
77,2,1,4,3,2,4,2,1,4,0
78,0,1,2,4,0,4,2,0,4,2
79,0,2,1,2,1,0,1,3,3,2
80,0,0,3,4,3,0,0,0,4,0
81,1,2,2,3,0,4,2,1,4,0
82,0,3,2,4,3,3,2,0,2,0
83,0,0,4,2,0,4,2,2,0,1
84,0,1,3,3,2,0,0,1,3,3
85,3,0,4,2,2,3,2,2,2,4
86,0,1,4,3,3,4,2,1,3,0
87,1,0,3,2,0,2,2,2,4,2
88,0,0,4,4,1,2,3,3,3,2
89,2,3,3,3,2,2,2,1,2,2
90,3,4,1,0,3,3,0,4,0,3
91,2,0,3,3,1,4,2,0,4,1
92,1,0,2,3,1,3,1,1,3,2
93,1,4,0,4,0,2,0,0,4,2
94,3,2,2,4,0,2,2,1,3,1
95,1,0,4,1,2,2,2,2,3,4
96,2,1,4,2,0,2,2,0,3,1
97,1,1,4,3,0,3,3,1,4,0
98,1,3,3,2,2,1,2,0,4,0
99,0,0,1,1,1,4,2,4,2,2
100,3,1,3,3,2,3,2,2,3,0
101,1,1,2,3,0,3,0,2,4,3
102,3,0,4,4,2,0,2,0,3,0
103,0,1,1,3,0,3,1,0,4,3
104,4,2,1,0,4,4,0,4,0,1
105,4,2,3,0,4,4,2,0,3,2
106,2,1,2,0,2,4,2,2,2,4
